Strain_ID,genome_id,antibiotic,resistant_phenotype,measurement,measurement_unit,laboratory_typing_method
GCF_000521985.1,1328337.4,cefepime,,>32,mg/L,Broth dilution
GCF_000521985.1,1328337.4,ciprofloxacin,,<=.25,mg/L,Broth dilution
GCF_000521985.1,1328337.4,ceftriaxone,,>32,mg/L,Broth dilution
GCF_000521985.1,1328337.4,meropenem,,0.125,mg/L,Broth dilution
GCF_000521985.1,1328337.4,trimethoprim/sulfamethoxazole,,<=1,mg/L,Broth dilution
GCF_000521985.1,1328337.4,gentamicin,,<=1,mg/L,Broth dilution
GCF_000521985.1,1328337.4,nitrofurantoin,,<=32,mg/L,Broth dilution
GCF_000521985.1,1328337.4,ceftazidime,,>32,mg/L,Broth dilution
GCF_000521985.1,1328337.4,tobramycin,,<=1,mg/L,Broth dilution
GCF_000492335.1,1328419.3,ceftazidime,,<=1,mg/L,Broth dilution
GCF_000492335.1,1328419.3,tobramycin,,<=1,mg/L,Broth dilution
GCF_000492335.1,1328419.3,nitrofurantoin,,64,mg/L,Broth dilution
GCF_000492335.1,1328419.3,ampicillin/sulbactam,,4,mg/L,Broth dilution
GCF_000492335.1,1328419.3,trimethoprim/sulfamethoxazole,,<=1,mg/L,Broth dilution
GCF_000492335.1,1328419.3,cefazolin,,<=4,mg/L,Broth dilution
GCF_000492335.1,1328419.3,gentamicin,,<=1,mg/L,Broth dilution
GCF_000492335.1,1328419.3,ceftriaxone,,<=1,mg/L,Broth dilution
GCF_000492335.1,1328419.3,ciprofloxacin,,<=.25,mg/L,Broth dilution
GCF_000492335.1,1328419.3,cefepime,,<=1,mg/L,Broth dilution
GCF_000492335.1,1328419.3,meropenem,,<=.25,mg/L,Broth dilution
GCF_000567065.1,1400168.3,gentamicin,,<=1,mg/L,Broth dilution
GCF_000567065.1,1400168.3,piperacillin/tazobactam,,<=4,mg/L,Broth dilution
GCF_000567065.1,1400168.3,ceftriaxone,,<=1,mg/L,Broth dilution
GCF_000567065.1,1400168.3,meropenem,,<=.25,mg/L,Broth dilution
GCF_000567065.1,1400168.3,ceftazidime,,<=1,mg/L,Broth dilution
GCF_000567065.1,1400168.3,cefepime,,<=1,mg/L,Broth dilution
GCF_000567065.1,1400168.3,cefazolin,,<=4,mg/L,Broth dilution
GCF_000567065.1,1400168.3,ampicillin/sulbactam,,4,mg/L,Broth dilution
GCF_000567065.1,1400168.3,ciprofloxacin,,<=.25,mg/L,Broth dilution
GCF_000567065.1,1400168.3,nitrofurantoin,,64,mg/L,Broth dilution
GCF_000567065.1,1400168.3,trimethoprim/sulfamethoxazole,,<=1,mg/L,Broth dilution
GCF_000567065.1,1400168.3,tobramycin,,<=1,mg/L,Broth dilution
GCF_000567745.1,1328371.3,amikacin,,16,mg/L,Broth dilution
GCF_000567745.1,1328371.3,ertapenem,,>=8,mg/L,Broth dilution
GCF_000567745.1,1328371.3,levofloxacin,,>=8,mg/L,Broth dilution
GCF_000567745.1,1328371.3,meropenem,,2,mg/L,Broth dilution
GCF_000492755.1,1328380.3,gentamicin,,<=1,mg/L,Broth dilution
GCF_000567745.1,1328371.3,trimethoprim/sulfamethoxazole,,>=320,mg/L,Broth dilution
GCF_000492755.1,1328380.3,cephalothin,,<=1,mg/L,Broth dilution
GCF_000567745.1,1328371.3,ciprofloxacin,,>=4,mg/L,Broth dilution
GCF_000492755.1,1328380.3,meropenem,,<=0.25,mg/L,Broth dilution
GCF_000492755.1,1328380.3,cefazolin,,<=4,mg/L,Broth dilution
GCF_000492755.1,1328380.3,ampicillin,,>=32,mg/L,Broth dilution
GCF_000492755.1,1328380.3,ciprofloxacin,,>=4,mg/L,Broth dilution
