isolate_id,positive,lineage_a,lineage_b
example_01_01,1,L01,C01
example_01_02,1,L01,C01
example_01_03,0,L01,C01
example_01_04,0,L01,C01
example_01_05,0,L01,C01
example_01_06,1,L01,C01
example_01_07,1,L01,C01
example_01_08,0,L01,C01
example_02_01,1,L02,C01
example_02_02,0,L02,C01
example_02_03,0,L02,C01
example_02_04,0,L02,C01
example_02_05,1,L02,C01
example_02_06,1,L02,C01
example_02_07,0,L02,C01
example_02_08,0,L02,C01
example_03_01,0,L03,C02
example_03_02,0,L03,C02
example_03_03,0,L03,C02
example_03_04,1,L03,C02
example_03_05,1,L03,C02
example_03_06,0,L03,C02
example_03_07,0,L03,C02
example_03_08,0,L03,C02
example_04_01,0,L04,C02
example_04_02,0,L04,C02
example_04_03,1,L04,C02
example_04_04,1,L04,C02
example_04_05,0,L04,C02
example_04_06,0,L04,C02
example_04_07,0,L04,C02
example_04_08,1,L04,C02
example_05_01,0,L05,C03
example_05_02,1,L05,C03
example_05_03,1,L05,C03
example_05_04,0,L05,C03
example_05_05,0,L05,C03
example_05_06,0,L05,C03
example_05_07,1,L05,C03
example_05_08,1,L05,C03
example_06_01,1,L06,C03
example_06_02,1,L06,C03
example_06_03,0,L06,C03
example_06_04,0,L06,C03
example_06_05,0,L06,C03
example_06_06,1,L06,C03
example_06_07,1,L06,C03
example_06_08,0,L06,C03
example_07_01,1,L07,C04
example_07_02,0,L07,C04
example_07_03,0,L07,C04
example_07_04,0,L07,C04
example_07_05,1,L07,C04
example_07_06,1,L07,C04
example_07_07,0,L07,C04
example_07_08,0,L07,C04
example_08_01,0,L08,C04
example_08_02,0,L08,C04
example_08_03,0,L08,C04
example_08_04,1,L08,C04
example_08_05,1,L08,C04
example_08_06,0,L08,C04
example_08_07,0,L08,C04
example_08_08,0,L08,C04
example_09_01,0,L09,C05
example_09_02,0,L09,C05
example_09_03,1,L09,C05
example_09_04,1,L09,C05
example_09_05,0,L09,C05
example_09_06,0,L09,C05
example_09_07,0,L09,C05
example_09_08,1,L09,C05
example_10_01,0,L10,C05
example_10_02,1,L10,C05
example_10_03,1,L10,C05
example_10_04,0,L10,C05
example_10_05,0,L10,C05
example_10_06,0,L10,C05
example_10_07,1,L10,C05
example_10_08,1,L10,C05
example_11_01,1,L11,C06
example_11_02,1,L11,C06
example_11_03,0,L11,C06
example_11_04,0,L11,C06
example_11_05,0,L11,C06
example_11_06,1,L11,C06
example_11_07,1,L11,C06
example_11_08,0,L11,C06
example_12_01,1,L12,
example_12_02,0,L12,
example_12_03,0,L12,
example_12_04,0,L12,
example_12_05,1,L12,
example_12_06,1,L12,
example_12_07,0,L12,
example_12_08,0,L12,
