genome_id,antibiotic,call
PDT000003688.4,amikacin,susceptible
PDT000003688.4,amoxicillin-clavulanic acid,susceptible
PDT000003688.4,ampicillin,susceptible
PDT000003688.4,cefoxitin,susceptible
PDT000003688.4,ceftiofur,susceptible
PDT000003688.4,ceftriaxone,susceptible
PDT000003688.4,chloramphenicol,susceptible
PDT000003688.4,ciprofloxacin,susceptible
PDT000003688.4,gentamicin,susceptible
PDT000003688.4,kanamycin,susceptible
PDT000003688.4,nalidixic acid,susceptible
PDT000003688.4,streptomycin,susceptible
PDT000003688.4,sulfamethoxazole,susceptible
PDT000003688.4,tetracycline,susceptible
PDT000003688.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003689.4,amikacin,susceptible
PDT000003689.4,amoxicillin-clavulanic acid,susceptible
PDT000003689.4,ampicillin,susceptible
PDT000003689.4,cefoxitin,susceptible
PDT000003689.4,ceftiofur,susceptible
PDT000003689.4,ceftriaxone,susceptible
PDT000003689.4,chloramphenicol,susceptible
PDT000003689.4,ciprofloxacin,susceptible
PDT000003689.4,gentamicin,susceptible
PDT000003689.4,kanamycin,susceptible
PDT000003689.4,nalidixic acid,susceptible
PDT000003689.4,streptomycin,susceptible
PDT000003689.4,sulfamethoxazole,susceptible
PDT000003689.4,tetracycline,susceptible
PDT000003689.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003690.3,amikacin,susceptible
PDT000003690.3,amoxicillin-clavulanic acid,susceptible
PDT000003690.3,ampicillin,susceptible
PDT000003690.3,cefoxitin,susceptible
PDT000003690.3,ceftiofur,susceptible
PDT000003690.3,ceftriaxone,susceptible
PDT000003690.3,chloramphenicol,susceptible
PDT000003690.3,ciprofloxacin,susceptible
PDT000003690.3,gentamicin,susceptible
PDT000003690.3,kanamycin,susceptible
PDT000003690.3,nalidixic acid,susceptible
PDT000003690.3,streptomycin,non-susceptible
PDT000003690.3,sulfamethoxazole,susceptible
PDT000003690.3,tetracycline,non-susceptible
PDT000003690.3,trimethoprim-sulfamethoxazole,susceptible
PDT000003692.3,amikacin,susceptible
PDT000003692.3,amoxicillin-clavulanic acid,susceptible
PDT000003692.3,ampicillin,susceptible
PDT000003692.3,cefoxitin,susceptible
PDT000003692.3,ceftiofur,susceptible
PDT000003692.3,ceftriaxone,susceptible
PDT000003692.3,chloramphenicol,susceptible
PDT000003692.3,ciprofloxacin,susceptible
PDT000003692.3,gentamicin,susceptible
PDT000003692.3,kanamycin,susceptible
PDT000003692.3,nalidixic acid,susceptible
PDT000003692.3,streptomycin,susceptible
PDT000003692.3,sulfamethoxazole,susceptible
PDT000003692.3,tetracycline,susceptible
PDT000003692.3,trimethoprim-sulfamethoxazole,susceptible
PDT000003693.3,amikacin,susceptible
PDT000003693.3,amoxicillin-clavulanic acid,susceptible
PDT000003693.3,ampicillin,susceptible
PDT000003693.3,cefoxitin,susceptible
PDT000003693.3,ceftiofur,susceptible
PDT000003693.3,ceftriaxone,susceptible
PDT000003693.3,chloramphenicol,susceptible
PDT000003693.3,ciprofloxacin,susceptible
PDT000003693.3,gentamicin,susceptible
PDT000003693.3,kanamycin,susceptible
PDT000003693.3,nalidixic acid,susceptible
PDT000003693.3,streptomycin,non-susceptible
PDT000003693.3,sulfamethoxazole,susceptible
PDT000003693.3,tetracycline,non-susceptible
PDT000003693.3,trimethoprim-sulfamethoxazole,susceptible
PDT000003694.4,amikacin,susceptible
PDT000003694.4,amoxicillin-clavulanic acid,susceptible
PDT000003694.4,ampicillin,susceptible
PDT000003694.4,cefoxitin,susceptible
PDT000003694.4,ceftiofur,susceptible
PDT000003694.4,ceftriaxone,susceptible
PDT000003694.4,chloramphenicol,susceptible
PDT000003694.4,ciprofloxacin,susceptible
PDT000003694.4,gentamicin,susceptible
PDT000003694.4,kanamycin,susceptible
PDT000003694.4,nalidixic acid,susceptible
PDT000003694.4,streptomycin,susceptible
PDT000003694.4,sulfamethoxazole,susceptible
PDT000003694.4,tetracycline,susceptible
PDT000003694.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003696.4,amikacin,susceptible
PDT000003696.4,amoxicillin-clavulanic acid,susceptible
PDT000003696.4,ampicillin,susceptible
PDT000003696.4,cefoxitin,susceptible
PDT000003696.4,ceftiofur,susceptible
PDT000003696.4,ceftriaxone,susceptible
PDT000003696.4,chloramphenicol,susceptible
PDT000003696.4,ciprofloxacin,susceptible
PDT000003696.4,gentamicin,susceptible
PDT000003696.4,kanamycin,susceptible
PDT000003696.4,nalidixic acid,susceptible
PDT000003696.4,streptomycin,susceptible
PDT000003696.4,sulfamethoxazole,susceptible
PDT000003696.4,tetracycline,susceptible
PDT000003696.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003697.4,amikacin,susceptible
PDT000003697.4,amoxicillin-clavulanic acid,susceptible
PDT000003697.4,ampicillin,susceptible
PDT000003697.4,cefoxitin,susceptible
PDT000003697.4,ceftiofur,susceptible
PDT000003697.4,ceftriaxone,susceptible
PDT000003697.4,chloramphenicol,susceptible
PDT000003697.4,ciprofloxacin,susceptible
PDT000003697.4,gentamicin,susceptible
PDT000003697.4,kanamycin,susceptible
PDT000003697.4,nalidixic acid,susceptible
PDT000003697.4,streptomycin,susceptible
PDT000003697.4,sulfamethoxazole,susceptible
PDT000003697.4,tetracycline,susceptible
PDT000003697.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003845.4,amikacin,susceptible
PDT000003845.4,amoxicillin-clavulanic acid,susceptible
PDT000003845.4,ampicillin,susceptible
PDT000003845.4,cefoxitin,susceptible
PDT000003845.4,ceftiofur,susceptible
PDT000003845.4,ceftriaxone,susceptible
PDT000003845.4,chloramphenicol,susceptible
PDT000003845.4,ciprofloxacin,susceptible
PDT000003845.4,gentamicin,susceptible
PDT000003845.4,kanamycin,susceptible
PDT000003845.4,nalidixic acid,susceptible
PDT000003845.4,streptomycin,susceptible
PDT000003845.4,sulfamethoxazole,susceptible
PDT000003845.4,tetracycline,susceptible
PDT000003845.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003846.4,amikacin,susceptible
PDT000003846.4,amoxicillin-clavulanic acid,susceptible
PDT000003846.4,ampicillin,susceptible
PDT000003846.4,cefoxitin,susceptible
PDT000003846.4,ceftiofur,susceptible
PDT000003846.4,ceftriaxone,susceptible
PDT000003846.4,chloramphenicol,susceptible
PDT000003846.4,ciprofloxacin,susceptible
PDT000003846.4,gentamicin,susceptible
PDT000003846.4,kanamycin,susceptible
PDT000003846.4,nalidixic acid,susceptible
PDT000003846.4,streptomycin,susceptible
PDT000003846.4,sulfamethoxazole,susceptible
PDT000003846.4,tetracycline,susceptible
PDT000003846.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003847.4,amikacin,susceptible
PDT000003847.4,amoxicillin-clavulanic acid,susceptible
PDT000003847.4,ampicillin,susceptible
PDT000003847.4,cefoxitin,susceptible
PDT000003847.4,ceftiofur,susceptible
PDT000003847.4,ceftriaxone,susceptible
PDT000003847.4,chloramphenicol,susceptible
PDT000003847.4,ciprofloxacin,susceptible
PDT000003847.4,gentamicin,susceptible
PDT000003847.4,kanamycin,susceptible
PDT000003847.4,nalidixic acid,susceptible
PDT000003847.4,streptomycin,susceptible
PDT000003847.4,sulfamethoxazole,susceptible
PDT000003847.4,tetracycline,susceptible
PDT000003847.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003849.4,amikacin,susceptible
PDT000003849.4,amoxicillin-clavulanic acid,susceptible
PDT000003849.4,ampicillin,susceptible
PDT000003849.4,cefoxitin,susceptible
PDT000003849.4,ceftiofur,susceptible
PDT000003849.4,ceftriaxone,susceptible
PDT000003849.4,chloramphenicol,susceptible
PDT000003849.4,ciprofloxacin,susceptible
PDT000003849.4,gentamicin,susceptible
PDT000003849.4,kanamycin,susceptible
PDT000003849.4,nalidixic acid,susceptible
PDT000003849.4,streptomycin,susceptible
PDT000003849.4,sulfamethoxazole,susceptible
PDT000003849.4,tetracycline,susceptible
PDT000003849.4,trimethoprim-sulfamethoxazole,susceptible
PDT000003850.3,amikacin,susceptible
PDT000003850.3,amoxicillin-clavulanic acid,susceptible
PDT000003850.3,ampicillin,susceptible
PDT000003850.3,cefoxitin,susceptible
PDT000003850.3,ceftiofur,susceptible
PDT000003850.3,ceftriaxone,susceptible
PDT000003850.3,chloramphenicol,susceptible
PDT000003850.3,ciprofloxacin,susceptible
PDT000003850.3,gentamicin,susceptible
PDT000003850.3,kanamycin,susceptible
PDT000003850.3,nalidixic acid,susceptible
PDT000003850.3,streptomycin,non-susceptible
PDT000003850.3,sulfamethoxazole,susceptible
PDT000003850.3,tetracycline,non-susceptible
PDT000003850.3,trimethoprim-sulfamethoxazole,susceptible
PDT000003851.3,amikacin,susceptible
PDT000003851.3,amoxicillin-clavulanic acid,susceptible
PDT000003851.3,ampicillin,susceptible
PDT000003851.3,cefoxitin,susceptible
PDT000003851.3,ceftiofur,susceptible
PDT000003851.3,ceftriaxone,susceptible
PDT000003851.3,chloramphenicol,susceptible
PDT000003851.3,ciprofloxacin,susceptible
PDT000003851.3,gentamicin,susceptible
PDT000003851.3,kanamycin,susceptible
PDT000003851.3,nalidixic acid,susceptible
PDT000003851.3,streptomycin,susceptible
PDT000003851.3,sulfamethoxazole,susceptible
PDT000003851.3,tetracycline,non-susceptible
PDT000003851.3,trimethoprim-sulfamethoxazole,susceptible
PDT000003852.3,amikacin,susceptible
PDT000003852.3,amoxicillin-clavulanic acid,susceptible
PDT000003852.3,ampicillin,susceptible
PDT000003852.3,cefoxitin,susceptible
PDT000003852.3,ceftiofur,susceptible
