genome_id,serovar,pds_cluster,collection_year,period,country,isolation_source
PDT000003688.4,Kentucky,PDS000004091.7,2002,before_2016,USA,chicken breast
PDT000003689.4,Kentucky,PDS000004091.7,2002,before_2016,USA,chicken breast
PDT000003690.3,Hadar,PDS000158107.507,2002,before_2016,USA,chicken breast
PDT000003692.3,"4,12:i:-",PDS000253288.128,2002,before_2016,USA,chicken breast
PDT000003693.3,Hadar,PDS000158107.507,2002,before_2016,USA,ground turkey
PDT000003694.4,Heidelberg,PDS000211943.33,2002,before_2016,USA,ground turkey
PDT000003696.4,Enteritidis,PDS000026549.1050,2002,before_2016,USA,chicken breast
PDT000003697.4,Enteritidis,PDS000026549.1050,2002,before_2016,USA,chicken breast
PDT000003845.4,Enteritidis,PDS000032668.1889,2002,before_2016,USA,chicken breast
PDT000003846.4,Muenchen,PDS000198470.177,2002,before_2016,USA,ground turkey
PDT000003847.4,Enteritidis,PDS000032668.1889,2002,before_2016,USA,ground turkey
PDT000003849.4,Enteritidis,PDS000026549.1050,2002,before_2016,USA,chicken breast
PDT000003850.3,Bredeney,PDS000026671.14,2002,before_2016,USA,ground turkey
PDT000003851.3,Saintpaul,PDS000004383.112,2002,before_2016,USA,ground turkey
PDT000003852.3,Bredeney,PDS000026671.14,2002,before_2016,USA,ground turkey
PDT000003853.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,ground turkey
PDT000003873.4,Kentucky,PDS000004091.7,2002,before_2016,USA,chicken breast
PDT000003874.4,Kentucky,PDS000004091.7,2002,before_2016,USA,chicken breast
PDT000003875.4,Heidelberg,PDS000211943.33,2002,before_2016,USA,ground turkey
PDT000003876.4,Brandenburg,PDS000026782.249,2002,before_2016,USA,chicken breast
PDT000003877.4,Enteritidis,PDS000032668.1889,2002,before_2016,USA,chicken breast
PDT000003879.4,Enteritidis,PDS000026549.1050,2002,before_2016,USA,chicken breast
PDT000003962.3,Saintpaul,PDS000004383.112,2002,before_2016,USA,ground turkey
PDT000003963.4,Heidelberg,PDS000211943.33,2002,before_2016,USA,ground turkey
PDT000003965.3,Saintpaul,PDS000032619.14,2002,before_2016,USA,ground turkey
PDT000003967.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,ground turkey
PDT000003968.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,ground turkey
