genome_id,antibiotic,call
g1307.7503,doxycycline,non-susceptible
g1307.7504,doxycycline,non-susceptible
g1307.7505,doxycycline,susceptible
g1307.7506,doxycycline,susceptible
g1307.7507,doxycycline,susceptible
g1307.7508,doxycycline,non-susceptible
g1307.7509,doxycycline,susceptible
g1307.7510,doxycycline,non-susceptible
g1307.7511,doxycycline,non-susceptible
g1307.7512,doxycycline,susceptible
g1307.7513,doxycycline,non-susceptible
g1307.7514,doxycycline,non-susceptible
g1307.7515,doxycycline,non-susceptible
g1307.7516,doxycycline,non-susceptible
g1307.7517,doxycycline,susceptible
g1307.7518,doxycycline,non-susceptible
g1307.7519,doxycycline,non-susceptible
g1307.7520,doxycycline,non-susceptible
g1307.7521,doxycycline,susceptible
g1307.7522,doxycycline,susceptible
g1307.7523,doxycycline,non-susceptible
g1307.7524,doxycycline,non-susceptible
g1307.7525,doxycycline,non-susceptible
g1307.7526,doxycycline,non-susceptible
g1307.7527,doxycycline,non-susceptible
g1307.7528,doxycycline,non-susceptible
g1307.7529,doxycycline,susceptible
g1307.7530,doxycycline,non-susceptible
g1307.7531,doxycycline,susceptible
g1307.7532,doxycycline,non-susceptible
g1307.7533,doxycycline,susceptible
g1307.7534,doxycycline,non-susceptible
g1307.7535,doxycycline,susceptible
g1307.7536,doxycycline,non-susceptible
g1307.7537,doxycycline,susceptible
g1307.7538,doxycycline,non-susceptible
g1307.7539,doxycycline,susceptible
g1307.7540,doxycycline,non-susceptible
g1307.7541,doxycycline,non-susceptible
g1307.7542,doxycycline,susceptible
g1307.7543,doxycycline,susceptible
g1307.7544,doxycycline,susceptible
g1307.7545,doxycycline,non-susceptible
g1307.7546,doxycycline,non-susceptible
g1307.7547,doxycycline,non-susceptible
g1307.7548,doxycycline,non-susceptible
g1307.7549,doxycycline,non-susceptible
g1307.7550,doxycycline,non-susceptible
g1307.7551,doxycycline,non-susceptible
g1307.7552,doxycycline,non-susceptible
g1307.7553,doxycycline,non-susceptible
g1307.7554,doxycycline,non-susceptible
g1307.7555,doxycycline,non-susceptible
g1307.7556,doxycycline,non-susceptible
g1307.7557,doxycycline,non-susceptible
g1307.7558,doxycycline,non-susceptible
g1307.7559,doxycycline,non-susceptible
g1307.7560,doxycycline,non-susceptible
g1307.7561,doxycycline,non-susceptible
g1307.7562,doxycycline,non-susceptible
g1307.7563,doxycycline,non-susceptible
g1307.7564,doxycycline,non-susceptible
g1307.7565,doxycycline,non-susceptible
g1307.7566,doxycycline,susceptible
g1307.7567,doxycycline,non-susceptible
g1307.7568,doxycycline,susceptible
g1307.7569,doxycycline,non-susceptible
g1307.7570,doxycycline,non-susceptible
g1307.7571,doxycycline,non-susceptible
g1307.7572,doxycycline,non-susceptible
g1307.7573,doxycycline,non-susceptible
g1307.7574,doxycycline,non-susceptible
g1307.7575,doxycycline,susceptible
g1307.7576,doxycycline,non-susceptible
g1307.7577,doxycycline,susceptible
g1307.7578,doxycycline,non-susceptible
g1307.7579,doxycycline,non-susceptible
g1307.7580,doxycycline,susceptible
g1307.7581,doxycycline,non-susceptible
g1307.7582,doxycycline,non-susceptible
g1307.7583,doxycycline,non-susceptible
g1307.7584,doxycycline,non-susceptible
g1307.7585,doxycycline,susceptible
g1307.7586,doxycycline,non-susceptible
g1307.7587,doxycycline,non-susceptible
g1307.7588,doxycycline,susceptible
g1307.7589,doxycycline,non-susceptible
g1307.7590,doxycycline,susceptible
g1307.7591,doxycycline,non-susceptible
g1307.7592,doxycycline,non-susceptible
g1307.7593,doxycycline,non-susceptible
g1307.7594,doxycycline,non-susceptible
g1307.7595,doxycycline,non-susceptible
g1307.7596,doxycycline,non-susceptible
g1307.7597,doxycycline,non-susceptible
g1307.7598,doxycycline,non-susceptible
g1307.7599,doxycycline,non-susceptible
g1307.7600,doxycycline,non-susceptible
g1307.7601,doxycycline,non-susceptible
g1307.7602,doxycycline,non-susceptible
g1307.7603,doxycycline,non-susceptible
g1307.7604,doxycycline,non-susceptible
