genome_id,amoxicillin,cefquinome,ceftiofur,penicillin,trimethoprim
g1307.7503,0,0,0,0,0
g1307.7504,0,0,0,0,0
g1307.7505,0,0,0,0,0
g1307.7506,0,0,0,0,0
g1307.7507,0,0,0,0,0
g1307.7508,0,0,0,0,0
g1307.7509,0,0,0,0,1
g1307.7510,0,0,0,0,0
g1307.7511,0,0,0,0,0
g1307.7512,0,0,0,0,0
g1307.7513,0,0,0,0,0
g1307.7514,0,0,0,0,0
g1307.7515,0,0,1,1,1
g1307.7516,0,0,1,1,0
g1307.7517,0,0,0,0,0
g1307.7518,0,0,0,0,0
g1307.7519,0,0,1,1,1
g1307.7520,0,0,0,0,0
g1307.7521,0,0,0,0,0
g1307.7522,0,0,1,1,0
g1307.7523,0,0,0,0,0
g1307.7524,0,0,0,0,0
g1307.7525,0,0,0,0,0
g1307.7526,0,0,0,0,0
g1307.7527,0,0,0,0,0
g1307.7528,0,0,0,0,0
g1307.7529,0,0,0,0,0
g1307.7530,0,0,0,0,1
g1307.7531,0,0,0,0,0
g1307.7532,0,0,0,0,0
g1307.7533,0,0,0,0,0
g1307.7534,0,0,0,0,0
g1307.7535,0,0,0,0,0
g1307.7536,0,0,0,0,0
g1307.7537,0,0,0,0,0
g1307.7538,0,0,1,1,1
g1307.7539,0,0,0,0,0
g1307.7540,0,0,0,0,0
g1307.7541,0,0,0,0,0
g1307.7542,0,0,0,0,0
g1307.7543,0,0,0,0,0
g1307.7544,0,0,0,0,0
g1307.7545,0,0,0,0,0
g1307.7546,0,0,1,1,1
g1307.7547,0,0,0,0,0
g1307.7548,0,0,1,1,0
g1307.7549,0,0,0,0,0
g1307.7550,0,0,0,0,0
g1307.7551,0,0,0,0,0
g1307.7552,0,0,0,0,1
g1307.7553,0,0,1,1,0
g1307.7554,0,0,0,0,0
g1307.7555,1,1,1,1,1
g1307.7556,0,0,0,0,0
g1307.7557,0,0,0,0,1
g1307.7558,0,0,0,0,0
g1307.7559,0,0,0,0,0
g1307.7560,0,0,0,0,0
g1307.7561,0,0,0,0,0
g1307.7562,0,0,1,1,1
g1307.7563,0,0,0,0,0
g1307.7564,0,0,0,0,0
g1307.7565,0,0,0,0,0
g1307.7566,0,0,0,0,0
g1307.7567,0,0,0,0,1
g1307.7568,0,0,0,0,0
g1307.7569,0,0,0,0,0
g1307.7570,0,0,0,0,0
g1307.7571,0,0,0,0,0
g1307.7572,0,0,0,0,0
g1307.7573,0,0,0,0,1
g1307.7574,0,0,0,0,1
g1307.7575,0,0,1,1,1
g1307.7576,0,0,0,0,0
g1307.7577,0,0,0,0,0
g1307.7578,0,0,0,0,1
g1307.7579,0,0,0,0,1
g1307.7580,0,0,0,0,0
g1307.7581,0,0,0,0,1
g1307.7582,0,0,0,0,0
g1307.7583,0,0,1,0,1
g1307.7584,0,0,0,0,0
g1307.7585,0,0,0,0,0
g1307.7586,0,0,0,0,0
g1307.7587,0,0,0,0,1
g1307.7588,0,0,0,1,1
g1307.7589,0,0,0,0,0
g1307.7590,0,0,0,0,1
g1307.7591,0,0,0,0,0
g1307.7592,0,0,0,0,0
g1307.7593,1,1,1,1,1
g1307.7594,0,0,0,0,0
g1307.7595,0,0,1,0,1
g1307.7596,0,0,0,0,0
g1307.7597,0,0,1,1,0
g1307.7598,0,0,1,1,1
g1307.7599,0,0,0,0,0
g1307.7600,0,0,0,0,1
g1307.7601,0,0,1,1,0
g1307.7602,0,0,0,1,1
g1307.7603,0,0,0,0,0
g1307.7604,0,0,1,0,1
g1307.7605,0,0,0,0,0
g1307.7606,0,1,1,1,1
g1307.7607,0,0,0,0,0
g1307.7608,0,0,0,0,0
g1307.7609,0,0,1,1,0
g1307.7610,0,0,1,1,1
g1307.7611,0,0,0,0,0
g1307.7612,0,0,1,1,0
g1307.7613,0,0,0,0,0
g1307.7614,0,0,0,0,1
g1307.7615,0,0,1,1,0
g1307.7616,0,0,0,0,1
g1307.7617,0,0,0,0,0
g1307.7618,0,0,0,0,0
g1307.7619,0,0,1,1,1
g1307.7620,0,0,0,0,0
g1307.7621,0,0,0,0,0
g1307.7622,0,0,0,0,0
g1307.7623,0,0,0,0,0
g1307.7624,0,0,0,0,1
g1307.7625,0,0,0,0,0
g1307.7626,1,1,1,1,1
g1307.7627,0,0,0,0,0
g1307.7628,0,0,0,0,0
g1307.7629,0,0,0,0,0
g1307.7630,0,0,0,1,1
g1307.7631,0,0,0,0,0
g1307.7632,0,0,0,0,0
g1307.7633,0,0,0,0,0
g1307.7634,0,0,0,0,0
g1307.7635,0,0,0,0,0
g1307.7636,0,0,0,0,0
g1307.7637,0,0,0,0,0
g1307.7638,0,1,1,1,0
g1307.7639,1,1,1,1,1
g1307.7640,0,0,0,0,0
g1307.7641,0,0,0,0,0
g1307.7642,0,0,0,0,0
g1307.7643,0,0,0,0,0
g1307.7644,0,0,1,0,0
g1307.7645,0,0,0,0,0
g1307.7646,0,0,0,0,0
g1307.7647,0,0,0,0,0
g1307.7648,0,0,0,0,0
g1307.7649,0,0,1,0,0
