genome_id,antibiotic,measurement_sign,measurement,measurement_unit,laboratory_typing_method,testing_standard,pmid
g1307.7503,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7503,cefquinome,,0.008,mg/L,MIC,CLSI,[34493269]
g1307.7503,ceftiofur,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7503,doxycycline,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7503,enrofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7503,erythromycin,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7503,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7503,lincomycin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7503,marbofloxacin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7503,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7503,spectinomycin,,16.0,mg/L,MIC,CLSI,[34493269]
g1307.7503,tetracycline,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7503,tiamulin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7503,tilmicosin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7503,trimethoprim,,0.06,mg/L,MIC,CLSI,[34493269]
g1307.7503,tylosin,,256.0,mg/L,MIC,CLSI,[34493269]
g1307.7504,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7504,cefquinome,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7504,ceftiofur,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7504,doxycycline,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7504,enrofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7504,erythromycin,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7504,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7504,lincomycin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7504,marbofloxacin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7504,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7504,spectinomycin,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7504,tetracycline,,32.0,mg/L,MIC,CLSI,[34493269]
g1307.7504,tiamulin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7504,tilmicosin,,128.0,mg/L,MIC,CLSI,[34493269]
g1307.7504,trimethoprim,,0.06,mg/L,MIC,CLSI,[34493269]
g1307.7504,tylosin,,256.0,mg/L,MIC,CLSI,[34493269]
g1307.7505,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7505,cefquinome,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7505,ceftiofur,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7505,doxycycline,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7505,enrofloxacin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7505,erythromycin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7505,florfenicol,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7505,lincomycin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7505,marbofloxacin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7505,penicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7505,spectinomycin,,8.0,mg/L,MIC,CLSI,[34493269]
g1307.7505,tetracycline,,2.0,mg/L,MIC,CLSI,[34493269]
g1307.7505,tiamulin,,1.0,mg/L,MIC,CLSI,[34493269]
g1307.7505,tilmicosin,,4.0,mg/L,MIC,CLSI,[34493269]
g1307.7505,trimethoprim,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7505,tylosin,,0.5,mg/L,MIC,CLSI,[34493269]
g1307.7506,amoxicillin,,0.03,mg/L,MIC,CLSI,[34493269]
g1307.7506,cefquinome,,0.015,mg/L,MIC,CLSI,[34493269]
g1307.7506,ceftiofur,,0.12,mg/L,MIC,CLSI,[34493269]
g1307.7506,doxycycline,,0.12,mg/L,MIC,CLSI,[34493269]
