Strain,NewBaps,Genome.Set,Pathogen,Serotype,Source,Year,P__MLSB_Erythromycin,P__MLSB_Tilmicosin,P__MLSB_Tylosin,P__MLSB_Lincomycin,P__Pleuro_Tiamulin,G__MLSB_ermB_M_O,G__MLSB_ermG_M_S,G__MLSB_ermT_M_S,G__MLSB_linB_M_O,G__MLSB_lnuB__M_O,G__MLSB_lnuC_M_O,G__MLSB_mefA_M_O,G__MLSB__msrD_M_O,G__Pleuro_lsaE_M_O,G__Pleuro_vgaF_C_N,P__Fluoro_Enrofloxacin,P__Fluoro_Marbofloxacin,G__Fluoro_GyrA_81_V_O,G__Fluoro_GyrA_85_V_O,G__Fluoro_ParC_79_V_O,P__Tetra_Tetracycline,P__Tetra_Doxycycline,G__Tetra_tet44_M_S,G__Tetra_tetM__M_O,G__Tetra_tetO_M_O,G__Tetra_tetW__M_O,G__Tetra_tet_40_M_O,G__Tetra_tetL_M_O,G__Tetra_tet_O.W.32.O_M_O,G__Tetra_tetM1_M_S,G__Tetra_tetM2__M_S,G__Tetra_tetM3__M_S,G__Tetra_tetO1_M_S,P__Amino_Spectinomycin,G__Amino_ant_4_Ib_M_S,G__Amino_ant_6_Ia_M_O,G__Amino_ant_6_Ib_M_S,G__Amino_ant_9_Ia_M_O,G__Amino_aph_3_IIIa_M_S,G__Amino_ant_1_M_U,G__Amino_aadE1_M_U,G__Amino_aadE2_M_U,P__TMP_Trimethoprim,G__TMP_DHFR_102_V_N,G__TMP_DHFRPromoter_S_N,G__TMP_dfrF_M_S,G__TMP_dfrK_M_S,P__Phen_Florifenicol,G__Phen_cat_M_S,P__Beta_Amoxicillin,P__Beta_Cefquinome,P__Beta_Ceftiofur,P__Beta_Penicillin,G__Beta_PBP2B.hap_V_N,G__Beta_PBP2X.hap_V_N,G__Beta_PBP2X_551_V_N,G__Beta_PBP2X_569_V_O,G__Beta_PBP2X_594.596_V_O,G__Beta_MraY.hap_V_N
00-3638-4B,1,Canada,SYS-BRAIN,5,Pig,2000,16,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1080671,18,Canada,SYS-OTHER,NA,Pig,2008,0.06,4,0.5,64,2,no,no,no,no,no,yes,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.06,0.5,0.12,no,no,yes,no,no,no
1093404,21,Canada,SYS-BRAIN,27,Pig,2008,4,128,256,128,16,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,128,16,no,no,yes,no,no,yes,no,no,no,no,no,8,no,no,no,no,no,no,no,no,16,yes,no,no,no,1,no,0.12,0.12,1,0.5,yes,yes,yes,no,no,no
1112943,21,Canada,SYS-OTHER,NA,Pig,2008,0.03,8,1,128,64,no,no,no,yes,no,no,no,no,yes,yes,0.25,0.5,no,no,no,128,8,no,no,yes,no,yes,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,8,yes,no,no,no,1,no,0.03,0.06,0.5,0.25,yes,yes,yes,no,no,no
1126699,2,Canada,SYS-OTHER,17,Pig,2008,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,yes,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.12,0.12,0.5,1,yes,no,yes,no,no,no
1129711,11,Canada,SYS-BRAIN,29,Pig,2008,0.03,8,1,2,4,no,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,no,no,no,no,no,yes,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.06,0.12,0.06,no,no,no,no,no,no
1145478,16,Canada,RESP,NA,Pig,2009,0.03,8,0.5,128,64,no,no,no,yes,no,no,no,no,yes,no,0.5,1,no,no,yes,128,16,no,no,yes,no,no,yes,no,no,no,no,no,512,no,no,no,yes,yes,no,no,no,8,yes,no,no,no,1,no,2,2,16,8,yes,yes,no,yes,yes,yes
1148794,1,Canada,SYS-BRAIN,NA,Pig,2009,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1152130,21,Canada,SYS-OTHER,21,Pig,2009,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.25,1,yes,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.06,0.25,0.25,yes,no,yes,no,no,no
1158584,9,Canada,SYS-OTHER,31,Pig,2009,16,128,256,128,32,yes,no,no,yes,no,yes,no,no,yes,no,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,64,no,no,no,yes,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.12,0.03,yes,no,no,no,no,no
1160410,11,Canada,SYS-OTHER,NA,Pig,2009,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,512,no,no,no,no,no,yes,no,no,0.03,no,no,no,no,2,no,0.06,0.12,1,2,yes,no,yes,no,no,no
1162351,21,Canada,RESP,24,Pig,2009,32,128,256,128,0.25,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,yes,no,no,no,no,no,0.03,no,no,no,no,2,no,0.12,0.25,1,4,yes,yes,yes,no,no,yes
1165977,18,Canada,SYS-OTHER,NA,Pig,2009,32,128,256,128,64,yes,no,no,yes,no,no,no,no,yes,no,0.5,1,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,512,no,no,no,yes,no,no,no,no,0.25,yes,no,no,no,2,no,0.03,0.03,0.25,0.06,no,no,yes,no,no,no
1171239,21,Canada,SYS-OTHER,NA,Pig,2009,32,128,256,128,32,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,128,16,no,yes,yes,no,yes,no,no,no,yes,no,no,512,no,no,no,yes,no,no,no,no,4,yes,no,no,no,2,no,0.06,0.12,2,4,yes,yes,yes,no,no,yes
1191316,21,Canada,SYS-BRAIN,28,Pig,2009,0.03,4,0.5,2,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,4,0.5,no,no,no,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.06,no,no,no,no,1,no,0.03,0.12,0.5,0.25,yes,no,yes,no,no,no
1193601,8,Canada,SYS-BRAIN,NA,Pig,2009,32,128,256,128,0.12,yes,no,no,no,no,no,no,no,no,no,0.5,2,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,32,yes,yes,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1197165,12,Canada,SYS-BRAIN,NA,Pig,2009,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,4,no,0.03,0.12,1,0.5,yes,no,yes,no,no,no
1197378,8,Canada,SYS-OTHER,9,Pig,2009,0.06,4,1,8,8,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.03,0.12,0.03,yes,no,no,no,no,no
1209618,8,Canada,SYS-OTHER,NA,Pig,2010,32,128,256,128,64,yes,no,no,yes,no,no,yes,yes,yes,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,yes,no,no,no,no,no,512,no,yes,no,yes,yes,no,no,no,0.25,yes,no,no,no,2,no,0.06,0.03,0.25,1,yes,no,yes,no,no,no
1230091,20,Canada,SYS-BRAIN,NA,Pig,2010,32,128,256,128,64,yes,no,no,no,no,yes,no,no,no,yes,0.06,0.25,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.5,yes,no,no,no,2,no,0.03,0.03,0.25,0.06,no,no,yes,no,no,no
1231073,9,Canada,SYS-BRAIN,31,Pig,2010,32,128,256,128,8,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.06,0.06,0.25,0.03,yes,no,no,no,no,no
1231255,2,Canada,RESP,19,Pig,2010,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,yes,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.06,0.06,0.5,0.5,yes,no,yes,no,no,no
1248867,21,Canada,RESP,NA,Pig,2010,2,128,256,128,64,yes,no,no,no,no,no,no,no,no,yes,0.12,0.5,no,no,no,128,16,no,no,yes,no,no,yes,no,no,no,no,no,8,no,no,no,no,no,no,no,no,4,yes,no,no,no,2,no,0.06,0.06,4,4,yes,yes,yes,no,no,yes
1269330,21,Canada,SYS-BRAIN,21,Pig,2011,32,128,256,128,16,yes,no,no,no,no,no,yes,no,no,yes,0.12,0.5,yes,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,yes,no,no,no,32,yes,no,no,no,2,no,0.03,0.12,0.5,0.12,yes,no,yes,no,no,no
1270935,21,Canada,SYS-OTHER,28,Pig,2011,32,128,256,128,16,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.5,yes,no,no,no,2,no,0.12,0.12,4,4,yes,yes,yes,no,no,yes
1348170,21,Canada,SYS-OTHER,13,Pig,2011,32,256,128,128,32,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,yes,no,yes,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,2,no,no,no,no,2,no,0.06,0.25,1,1,yes,no,yes,no,no,no
1378494,8,Canada,UNKNOWN,25,Pig,2012,0.06,4,0.5,128,64,no,no,no,yes,no,no,no,no,yes,yes,0.25,1,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,512,no,yes,no,yes,yes,no,no,no,2,yes,no,yes,no,2,no,0.03,0.03,0.25,0.03,yes,no,no,no,no,no
1442765,8,Canada,SYS-OTHER,16,Pig,2012,2,128,256,64,8,yes,no,no,no,no,yes,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,64,no,no,no,no,yes,no,no,no,8,yes,yes,no,no,2,no,0.06,0.06,1,0.5,yes,no,yes,no,no,no
1456898,21,Canada,UNKNOWN,NA,Pig,2013,8,128,256,128,32,yes,no,no,no,no,no,no,no,no,yes,0.25,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,16,yes,no,no,no,2,no,0.03,0.12,1,4,yes,yes,yes,no,no,yes
1462648,4,Canada,SYS-OTHER,14,Pig,2013,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,32,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1463646,4,Canada,SYS-BRAIN,14,Pig,2013,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1464747,5,Canada,UNKNOWN,8,Pig,2013,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.06,0.25,0.06,no,no,no,no,no,no
1464749,4,Canada,SYS-OTHER,14,Pig,2013,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1465473,4,Canada,SYS-OTHER,14,Pig,2013,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,4,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
1466571,11,Canada,SYS-BRAIN,NA,Pig,2013,0.03,4,1,8,32,no,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,64,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.06,0.06,0.5,1,yes,no,yes,no,no,no
1475186,24,Canada,SYS-OTHER,3,Pig,2013,8,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,1,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1477528,25,Canada,UNKNOWN,3,Pig,2013,0.06,4,1,0.25,1,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
1478991,5,Canada,RESP,8,Pig,2013,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,yes,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
1481256,5,Canada,UNKNOWN,8,Pig,2013,16,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.06,0.25,0.03,no,no,no,no,no,no
1481257,5,Canada,SYS-OTHER,8,Pig,2013,2,128,256,128,64,yes,no,no,yes,no,no,no,no,yes,no,0.25,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,512,no,no,no,yes,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.06,0.5,0.03,no,no,no,no,no,no
1481965,22,Canada,SYS-BRAIN,NA,Pig,2013,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,1,yes,no,no,8,0.5,yes,no,no,no,no,no,no,no,no,no,no,32,no,no,yes,no,no,no,no,yes,16,yes,no,no,no,2,no,0.06,0.06,0.5,1,yes,no,yes,no,no,no
1491188,1,Canada,RESP,23,Pig,2013,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1493634,5,Canada,UNKNOWN,16,Pig,2013,4,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,2,no,no,no,16,4,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,1.4999999999999999E-2,no,no,no,no,2,no,0.03,0.03,0.25,0.03,no,no,no,no,no,no
1494500,16,Canada,SYS-BRAIN,NA,Pig,2013,32,128,256,128,64,yes,no,no,yes,no,no,no,no,yes,no,1,2,no,no,no,64,16,no,no,no,no,no,no,yes,no,no,no,no,512,yes,yes,no,yes,no,no,no,no,32,yes,no,no,no,2,no,4,1,16,8,yes,yes,no,yes,yes,yes
1495917,16,Canada,SYS-OTHER,NA,Pig,2013,32,128,256,128,2,yes,no,no,no,no,yes,yes,yes,no,no,0.5,1,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,2,yes,no,no,no,2,no,2,0.5,8,2,yes,yes,no,yes,yes,yes
1505307,13,Canada,UNKNOWN,16,Pig,2013,32,128,256,128,64,yes,no,no,no,no,no,no,no,no,yes,0.25,1,no,no,no,32,16,no,no,yes,no,no,no,no,no,no,no,no,512,no,no,no,yes,yes,no,no,no,0.12,yes,no,no,no,2,no,0.06,0.12,2,2,yes,yes,yes,no,no,yes
1506978,10,Canada,SYS-BRAIN,NA,Pig,2013,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1506989,8,Canada,SYS-OTHER,16,Pig,2013,8,128,256,128,0.12,yes,no,no,no,no,yes,no,no,no,no,0.5,1,no,no,no,64,16,no,yes,no,no,no,no,no,no,yes,no,no,32,no,no,no,no,yes,no,no,no,0.25,yes,no,no,no,2,no,0.06,1,4,1,yes,yes,yes,no,no,yes
1508445,1,Canada,SYS-BRAIN,23,Pig,2013,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1514647,21,Canada,RESP,28,Pig,2013,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,16,no,no,yes,no,no,no,no,no,no,no,no,4,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.06,0.5,0.12,yes,no,yes,no,no,no
1521251,1,Canada,SYS-BRAIN,NA,Pig,2013,32,128,256,128,4,yes,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,1.4999999999999999E-2,0.12,0.03,no,no,no,no,no,no
1522228,1,Canada,SYS-BRAIN,23,Pig,2013,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,no,no,no,no,2,no,4,0.5,0.5,2,no,no,no,no,no,no
1588531,4,Canada,UNKNOWN,1,Pig,2014,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
1596165,26,Canada,SYS-BRAIN,14,Pig,2014,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,8,16,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.5,no,no,no,no,2,no,0.06,0.12,0.25,0.06,no,no,no,no,no,no
1596201,4,Canada,SYS-BRAIN,1,Pig,2014,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,2,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.5,no,no,no,no,2,no,0.25,0.12,0.25,0.06,no,no,no,no,no,no
1596217,4,Canada,SYS-OTHER,1,Pig,2014,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,no,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
