isolate,amr_00,amr_01,amr_02,amr_03,amr_04,amr_05,amr_06,amr_07,amr_08,amr_09,amr_10,amr_11,amr_12,amr_13,amr_14
LC_0000,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
LC_0001,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0002,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0003,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0004,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0
LC_0005,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LC_0006,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
LC_0007,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
LC_0008,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0009,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0
LC_0010,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0011,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0
LC_0012,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0013,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1
LC_0014,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
LC_0015,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1
LC_0016,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
LC_0017,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0018,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0019,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0020,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0021,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1
LC_0022,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
LC_0023,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
LC_0024,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
LC_0025,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
LC_0026,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0027,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0028,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
LC_0029,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0030,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0
LC_0031,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0032,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0033,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1
LC_0034,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0035,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0036,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0
LC_0037,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
LC_0038,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0039,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0040,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0041,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0042,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1
LC_0043,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0044,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1
LC_0045,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0046,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0047,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0048,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0049,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0050,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0051,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0052,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0053,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0054,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
LC_0055,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0056,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0057,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0058,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
LC_0059,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0060,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1
LC_0061,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0062,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0063,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0064,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0065,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0066,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0067,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0
LC_0068,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0069,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0070,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
