isolate,lineage
LC_0000,L003
LC_0001,L000
LC_0002,L000
LC_0003,L001
LC_0004,L001
LC_0005,L005
LC_0006,L003
LC_0007,L005
LC_0008,L000
LC_0009,L000
LC_0010,L000
LC_0011,L000
LC_0012,L000
LC_0013,L002
LC_0014,L014
LC_0015,L002
LC_0016,L000
LC_0017,L001
LC_0018,L000
LC_0019,L001
LC_0020,L000
LC_0021,L002
LC_0022,L016
LC_0023,L015
LC_0024,L003
LC_0025,L005
LC_0026,L001
LC_0027,L000
LC_0028,L005
LC_0029,L000
LC_0030,L000
LC_0031,L000
LC_0032,L000
LC_0033,L002
LC_0034,L000
LC_0035,L000
LC_0036,L000
LC_0037,L009
LC_0038,L000
LC_0039,L000
LC_0040,L000
LC_0041,L001
LC_0042,L002
LC_0043,L000
LC_0044,L006
LC_0045,L001
LC_0046,L000
LC_0047,L000
LC_0048,L000
LC_0049,L000
LC_0050,L000
LC_0051,L000
LC_0052,L001
LC_0053,L001
LC_0054,L002
LC_0055,L000
LC_0056,L001
LC_0057,L000
LC_0058,L000
LC_0059,L000
LC_0060,L002
LC_0061,L000
LC_0062,L000
LC_0063,L000
LC_0064,L001
LC_0065,L000
LC_0066,L001
LC_0067,L000
LC_0068,L000
LC_0069,L000
LC_0070,L000
LC_0071,L004
LC_0072,L000
LC_0073,L002
LC_0074,L000
LC_0075,L000
LC_0076,L002
LC_0077,L001
LC_0078,L000
LC_0079,L000
LC_0080,L000
LC_0081,L000
LC_0082,L001
LC_0083,L000
LC_0084,L001
LC_0085,L000
LC_0086,L001
LC_0087,L001
LC_0088,L000
LC_0089,L002
LC_0090,L004
LC_0091,L000
LC_0092,L001
LC_0093,L002
LC_0094,L000
LC_0095,L000
LC_0096,L001
LC_0097,L002
LC_0098,L000
LC_0099,L000
LC_0100,L001
LC_0101,L000
LC_0102,L000
LC_0103,L000
LC_0104,L000
LC_0105,L000
LC_0106,L000
LC_0107,L000
LC_0108,L000
LC_0109,L000
LC_0110,L000
LC_0111,L000
LC_0112,L000
LC_0113,L001
LC_0114,L020
LC_0115,L001
LC_0116,L000
LC_0117,L012
LC_0118,L000
LC_0119,L008
LC_0120,L000
LC_0121,L000
LC_0122,L003
LC_0123,L000
LC_0124,L002
LC_0125,L000
LC_0126,L000
LC_0127,L001
LC_0128,L000
LC_0129,L001
LC_0130,L000
LC_0131,L000
LC_0132,L000
LC_0133,L002
LC_0134,L000
LC_0135,L000
LC_0136,L000
LC_0137,L000
LC_0138,L000
LC_0139,L000
LC_0140,L000
LC_0141,L001
LC_0142,L000
LC_0143,L000
LC_0144,L000
LC_0145,L004
LC_0146,L000
LC_0147,L000
LC_0148,L000
LC_0149,L000
LC_0150,L000
LC_0151,L000
LC_0152,L000
LC_0153,L001
LC_0154,L000
LC_0155,L007
LC_0156,L000
LC_0157,L003
LC_0158,L000
LC_0159,L000
LC_0160,L001
LC_0161,L000
LC_0162,L006
LC_0163,L003
LC_0164,L000
LC_0165,L000
LC_0166,L001
LC_0167,L002
LC_0168,L000
LC_0169,L004
LC_0170,L000
LC_0171,L000
LC_0172,L000
LC_0173,L002
LC_0174,L000
LC_0175,L000
LC_0176,L000
LC_0177,L005
LC_0178,L000
LC_0179,L000
LC_0180,L000
LC_0181,L007
LC_0182,L003
LC_0183,L000
LC_0184,L013
LC_0185,L000
LC_0186,L000
LC_0187,L000
LC_0188,L001
LC_0189,L001
LC_0190,L000
LC_0191,L006
LC_0192,L014
LC_0193,L003
LC_0194,L000
LC_0195,L002
LC_0196,L000
LC_0197,L000
LC_0198,L000
LC_0199,L002
