isolate,vir_00,vir_01,vir_02,vir_03,vir_04,vir_05,vir_06,vir_07,vir_08,vir_09,vir_10,vir_11,vir_12,vir_13,vir_14,vir_15,vir_16,vir_17,vir_18,vir_19
LC_0000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
LC_0001,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
LC_0002,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0003,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
LC_0004,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LC_0005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC_0006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LC_0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC_0008,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0
LC_0009,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0010,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0011,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
LC_0012,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0013,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LC_0014,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
LC_0015,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LC_0016,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0017,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LC_0018,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0019,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
LC_0020,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0021,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LC_0022,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LC_0023,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
LC_0024,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
LC_0025,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
