isolate,amr_00,amr_01,amr_02,amr_03,amr_04,amr_05,amr_06,amr_07,amr_08,amr_09,amr_10,amr_11,amr_12,amr_13,amr_14,amr_15,amr_16,amr_17
SC_0000,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
SC_0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_0002,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
SC_0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SC_0004,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
SC_0005,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
SC_0006,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
SC_0007,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0
SC_0008,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
SC_0009,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0
SC_0010,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0
SC_0011,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
SC_0012,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
SC_0013,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
SC_0014,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0
SC_0015,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
SC_0016,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
SC_0017,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
SC_0018,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
SC_0019,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
SC_0020,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
SC_0021,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
SC_0022,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0
SC_0023,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SC_0024,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
SC_0025,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
SC_0026,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
SC_0027,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
SC_0028,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_0029,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SC_0030,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
SC_0031,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
SC_0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_0033,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
SC_0034,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
SC_0035,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0
SC_0036,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
SC_0037,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
SC_0038,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
SC_0039,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
SC_0040,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
SC_0041,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
SC_0042,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0
SC_0043,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
SC_0044,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
SC_0045,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
SC_0046,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SC_0047,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SC_0048,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
SC_0049,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
SC_0050,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SC_0051,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
SC_0052,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
SC_0053,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
SC_0054,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
SC_0055,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
SC_0056,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
SC_0057,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
SC_0058,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_0059,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC_0060,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_0061,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
SC_0062,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
SC_0063,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
SC_0064,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SC_0065,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
SC_0066,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0
SC_0067,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0
SC_0068,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
SC_0069,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
SC_0070,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
SC_0071,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
SC_0072,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
SC_0073,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0
SC_0074,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
SC_0075,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
SC_0076,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
SC_0077,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
SC_0078,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
SC_0079,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0
SC_0080,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1
SC_0081,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0
SC_0082,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
SC_0083,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
SC_0084,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SC_0085,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
SC_0086,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
SC_0087,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0
