isolate_id	cluster	confidence	stability	fragility	positive_layers	n_informative_layers	layer_conflict	discordant_layer	lineage
LC_0000	1	0.9913439944943494	robust	0.0	amr+vir	2	0.0	fused	L003
LC_0001	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0002	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0003	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0004	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0005	4	0.9838166205737547	robust	0.0	amr+vir	2	0.0	fused	L005
LC_0006	1	0.9949999999999999	robust	0.0	amr+vir	2	0.0	fused	L003
LC_0007	4	0.9874822443181818	robust	0.0	amr	1			L005
LC_0008	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0009	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0010	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0011	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0012	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0013	2	0.9945701357466064	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0014	4	0.9673469375494816	robust	0.0	amr+vir	2	0.0	fused	L014
LC_0015	2	0.9938542581211589	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0016	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0017	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0018	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0019	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0020	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0021	2	0.9939446366782007	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0022	1	0.9897116052222837	robust	0.0	amr+vir	2	1.0	vir	L016
LC_0023	1	0.9915842676684082	robust	0.14285714285714285	amr+vir	2	1.0	vir	L015
LC_0024	1	0.9933366537030952	robust	0.0	amr+vir	2	0.0	fused	L003
LC_0025	4	0.9846419656731039	robust	0.0	amr+vir	2	0.0	fused	L005
LC_0026	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0027	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0028	4	0.9826831781559704	robust	0.0	amr+vir	2	0.0	fused	L005
LC_0029	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0030	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0031	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0032	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0033	2	0.9949579831932773	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0034	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0035	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0036	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0037	4	0.983617337860463	robust	0.0	amr+vir	2	0.0	fused	L009
LC_0038	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0039	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0040	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0041	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0042	2	0.9955436720142602	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0043	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0044	4	0.9874853056426333	robust	0.0	amr+vir	2	0.0	fused	L006
LC_0045	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0046	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0047	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0048	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0049	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0050	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0051	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0052	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0053	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0054	2	0.9934640522875817	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0055	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0056	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0057	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0058	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0059	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0060	2	0.9944852941176471	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0061	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0062	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0063	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0064	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0065	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0066	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0067	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0068	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0069	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0070	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0071	4	0.9932746436699007	robust	0.0	amr+vir	2	0.0	fused	L004
LC_0072	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0073	2	0.9943977591036415	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0074	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0075	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0076	2	0.9929762949956101	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0077	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
