isolate_id	cluster	confidence	stability	fragility	positive_layers	n_informative_layers	layer_conflict	discordant_layer	planted_cluster	lineage
SC_0000	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L00
SC_0001	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L01
SC_0002	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L02
SC_0003	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L03
SC_0004	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L04
SC_0005	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L05
SC_0006	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L06
SC_0007	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L07
SC_0008	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L08
SC_0009	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L09
SC_0010	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L10
SC_0011	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L11
SC_0012	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L12
SC_0013	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L13
SC_0014	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L14
SC_0015	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L15
SC_0016	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L16
SC_0017	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L17
SC_0018	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L18
SC_0019	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L19
SC_0020	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L20
SC_0021	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L21
SC_0022	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L22
SC_0023	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L23
SC_0024	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L24
SC_0025	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L25
SC_0026	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L26
SC_0027	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L27
SC_0028	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L28
SC_0029	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L29
SC_0030	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L30
SC_0031	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L31
SC_0032	0	1.0	robust	0.0	vir	1			0	L32
SC_0033	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L33
SC_0034	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L34
SC_0035	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L35
SC_0036	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L36
SC_0037	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L37
SC_0038	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L38
SC_0039	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L39
SC_0040	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L40
SC_0041	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L41
