isolate_id	cluster	confidence	stability	fragility	positive_layers	n_informative_layers	layer_conflict	discordant_layer	planted_cluster	lineage
SC_0000	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L014
SC_0001	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L001
SC_0002	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L004
SC_0003	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L012
SC_0004	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L015
SC_0005	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L058
SC_0006	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L050
SC_0007	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L029
SC_0008	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L042
SC_0009	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L052
SC_0010	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L014
SC_0011	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L004
SC_0012	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L050
SC_0013	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L055
SC_0014	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L026
SC_0015	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L057
SC_0016	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L049
SC_0017	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L032
SC_0018	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L048
SC_0019	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L054
SC_0020	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L017
SC_0021	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L005
SC_0022	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L007
SC_0023	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L039
SC_0024	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L041
SC_0025	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L042
SC_0026	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L049
SC_0027	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L002
SC_0028	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L053
SC_0029	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L052
SC_0030	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L039
SC_0031	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L019
SC_0032	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L053
SC_0033	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L002
SC_0034	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L003
SC_0035	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L030
SC_0036	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L021
SC_0037	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L004
SC_0038	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L021
SC_0039	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L050
SC_0040	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L028
SC_0041	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L008
SC_0042	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L038
SC_0043	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L059
SC_0044	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L050
SC_0045	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L042
SC_0046	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L047
SC_0047	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L037
SC_0048	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L007
SC_0049	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L025
SC_0050	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L014
SC_0051	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L008
SC_0052	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L003
SC_0053	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L013
SC_0054	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L044
SC_0055	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L056
SC_0056	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L047
SC_0057	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L024
SC_0058	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L034
SC_0059	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L026
SC_0060	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L033
SC_0061	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L043
SC_0062	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L041
SC_0063	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L047
SC_0064	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L015
SC_0065	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L036
SC_0066	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L037
SC_0067	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L051
SC_0068	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L051
SC_0069	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L043
SC_0070	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L044
SC_0071	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L008
SC_0072	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L009
SC_0073	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L053
SC_0074	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L032
SC_0075	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L025
SC_0076	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L027
SC_0077	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L003
SC_0078	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L012
SC_0079	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L002
SC_0080	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L001
SC_0081	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L054
SC_0082	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L027
SC_0083	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L059
SC_0084	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L010
SC_0085	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L029
SC_0086	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L031
SC_0087	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L035
SC_0088	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L024
SC_0089	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L026
SC_0090	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L031
SC_0091	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L059
SC_0092	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L031
SC_0093	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L009
SC_0094	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L055
SC_0095	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L040
SC_0096	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L030
