cluster	feature	p_c	p_rest	delta_p	delta_p_ci_lo	delta_p_ci_hi	cohens_h	log_OR	fisher_p	support	fisher_p_bh	bh_reject	is_defining_descriptive
0	amr_00	0.9125	0.09375	0.81875	0.7375	0.89375	1.9186300381687218	4.521718448362873	8.592746705575655e-38	73	5.728497803717104e-37	True	True
0	amr_01	0.9	0.10625	0.7937500000000001	0.70625	0.875	1.8340372675537586	4.2476545526345655	3.5357500666242507e-35	72	1.4143000266497003e-34	True	True
0	amr_02	0.925	0.075	0.8500000000000001	0.77796875	0.9125	2.0319705876296505	4.913853262418421	2.1429375879714402e-41	74	3.21440638195716e-40	True	True
0	amr_03	0.9625	0.1375	0.825	0.75625	0.8875	1.992069988285004	4.914869984280952	2.1826932187691075e-38	77	1.6370199140768307e-37	True	True
0	amr_04	0.925	0.075	0.8500000000000001	0.78421875	0.91875	2.0319705876296505	4.913853262418421	2.1429375879714402e-41	74	3.21440638195716e-40	True	True
0	amr_05	0.8625	0.10625	0.7562500000000001	0.65625	0.8407812499999998	1.7177764438397278	3.9031138714717493	6.755625013353645e-32	69	2.1333552673748354e-31	True	True
0	amr_06	0.9	0.09375	0.80625	0.725	0.875	1.8757230562414882	4.382856461050705	1.365361252595351e-36	72	6.301667319670851e-36	True	True
0	amr_07	0.9125	0.06875	0.84375	0.7625	0.9125	2.0103914222981634	4.847331743138063	6.037993786496147e-41	73	7.245592543795376e-40	True	True
0	amr_08	0.1	0.49375	-0.39375000000000004	-0.49375	-0.28421875000000013	-0.9147948924578887	-2.1186743997778277	3.9314364707052505e-10	8	5.12796061396337e-10	True	True
0	amr_09	0.1875	0.45625	-0.26875	-0.36875	-0.14671875000000015	-0.5875194928472037	-1.2668567315712276	3.60820360054389e-05	15	3.60820360054389e-05	True	True
0	amr_10	0.125	0.525	-0.4	-0.49375	-0.28125	-0.8980829357872512	-2.003698246185383	6.91699609427909e-10	10	8.469791135851946e-10	True	True
0	amr_11	0.1	0.5	-0.4	-0.49375	-0.29375	-0.9272952180016124	-2.1435203983643585	3.507543447690652e-10	8	4.67672459692087e-10	True	True
0	amr_12	0.1	0.51875	-0.41875000000000007	-0.51578125	-0.3125	-0.9648040126306009	-2.2180890938618667	6.539325907642846e-11	8	1.006050139637361e-10	True	True
0	amr_13	0.1375	0.46875	-0.33125	-0.44078125	-0.23125	-0.7484936324910902	-1.6745959975138065	2.0284275826940588e-07	11	2.098373361407647e-07	True	True
0	amr_14	0.1375	0.525	-0.3875	-0.48124999999999996	-0.28421875000000013	-0.8610552510933518	-1.89844051073218	2.345988947222315e-09	11	2.759986996732135e-09	True	True
0	amr_15	0.0875	0.49375	-0.40625	-0.49375	-0.3	-0.9577018743851221	-2.257536387089995	1.005571310792729e-10	7	1.5083569661890935e-10	True	True
0	amr_16	0.1125	0.46875	-0.35625	-0.45625	-0.25625	-0.8241743332030761	-1.8940219314057314	1.3571131443526373e-08	9	1.4804870665665135e-08	True	True
0	amr_17	0.0625	0.49375	-0.43125	-0.51578125	-0.34375	-1.0529354909670157	-2.594538565430023	2.6463366933531416e-12	5	5.1219419871351134e-12	True	True
0	amr_18	0.075	0.525	-0.45	-0.55	-0.34375	-1.0660061506205953	-2.5384577420145606	7.654593169089347e-13	6	1.5309186338178692e-12	True	True
0	amr_19	0.1125	0.49375	-0.38125000000000003	-0.48125000000000007	-0.2717187500000002	-0.8742147694558439	-1.9935596525069361	2.491260714598302e-09	9	2.8745315937672715e-09	True	True
0	amr_20	0.125	0.5	-0.375	-0.49375	-0.275	-0.8480620789814811	-1.9042374526547454	7.431266575669901e-09	10	8.412754613965926e-09	True	True
