isolate_id,agent,call
example_01_01,demo_agent,R
example_01_02,demo_agent,R
example_01_03,demo_agent,S
example_01_04,demo_agent,S
example_01_05,demo_agent,S
example_01_06,demo_agent,R
example_01_07,demo_agent,R
example_01_08,demo_agent,S
example_02_01,demo_agent,R
example_02_02,demo_agent,S
example_02_03,demo_agent,S
example_02_04,demo_agent,S
example_02_05,demo_agent,R
example_02_06,demo_agent,R
example_02_07,demo_agent,S
example_02_08,demo_agent,S
example_03_01,demo_agent,S
example_03_02,demo_agent,S
example_03_03,demo_agent,S
example_03_04,demo_agent,R
example_03_05,demo_agent,R
example_03_06,demo_agent,S
example_03_07,demo_agent,S
example_03_08,demo_agent,S
example_04_01,demo_agent,S
example_04_02,demo_agent,S
example_04_03,demo_agent,R
example_04_04,demo_agent,R
example_04_05,demo_agent,S
example_04_06,demo_agent,S
example_04_07,demo_agent,S
example_04_08,demo_agent,R
example_05_01,demo_agent,S
example_05_02,demo_agent,R
example_05_03,demo_agent,R
example_05_04,demo_agent,S
example_05_05,demo_agent,S
example_05_06,demo_agent,S
example_05_07,demo_agent,R
example_05_08,demo_agent,R
example_06_01,demo_agent,R
example_06_02,demo_agent,R
example_06_03,demo_agent,S
example_06_04,demo_agent,S
example_06_05,demo_agent,S
example_06_06,demo_agent,R
example_06_07,demo_agent,R
example_06_08,demo_agent,S
example_07_01,demo_agent,R
example_07_02,demo_agent,S
example_07_03,demo_agent,S
example_07_04,demo_agent,S
example_07_05,demo_agent,R
example_07_06,demo_agent,R
example_07_07,demo_agent,S
example_07_08,demo_agent,S
example_08_01,demo_agent,S
example_08_02,demo_agent,S
example_08_03,demo_agent,S
example_08_04,demo_agent,R
example_08_05,demo_agent,R
example_08_06,demo_agent,S
example_08_07,demo_agent,S
example_08_08,demo_agent,S
example_09_01,demo_agent,S
example_09_02,demo_agent,S
example_09_03,demo_agent,R
example_09_04,demo_agent,R
example_09_05,demo_agent,S
example_09_06,demo_agent,S
example_09_07,demo_agent,S
example_09_08,demo_agent,R
example_10_01,demo_agent,S
example_10_02,demo_agent,R
example_10_03,demo_agent,R
example_10_04,demo_agent,S
example_10_05,demo_agent,S
example_10_06,demo_agent,S
example_10_07,demo_agent,R
example_10_08,demo_agent,R
example_11_01,demo_agent,R
example_11_02,demo_agent,R
example_11_03,demo_agent,S
example_11_04,demo_agent,S
example_11_05,demo_agent,S
example_11_06,demo_agent,R
example_11_07,demo_agent,R
example_11_08,demo_agent,S
example_12_01,demo_agent,R
example_12_02,demo_agent,S
example_12_03,demo_agent,S
example_12_04,demo_agent,S
example_12_05,demo_agent,R
example_12_06,demo_agent,R
example_12_07,demo_agent,S
example_12_08,demo_agent,S
