isolate_id,lineage,period
example_01_01,L01,earlier
example_01_02,L01,earlier
example_01_03,L01,earlier
example_01_04,L01,earlier
example_01_05,L01,later
example_01_06,L01,later
example_01_07,L01,later
example_01_08,L01,later
example_02_01,L02,earlier
example_02_02,L02,earlier
example_02_03,L02,earlier
example_02_04,L02,earlier
example_02_05,L02,later
example_02_06,L02,later
example_02_07,L02,later
example_02_08,L02,later
example_03_01,L03,earlier
example_03_02,L03,earlier
example_03_03,L03,earlier
example_03_04,L03,earlier
example_03_05,L03,later
example_03_06,L03,later
example_03_07,L03,later
example_03_08,L03,later
example_04_01,L04,earlier
example_04_02,L04,earlier
example_04_03,L04,earlier
example_04_04,L04,earlier
example_04_05,L04,later
example_04_06,L04,later
example_04_07,L04,later
example_04_08,L04,later
example_05_01,L05,earlier
example_05_02,L05,earlier
example_05_03,L05,earlier
example_05_04,L05,earlier
example_05_05,L05,later
example_05_06,L05,later
example_05_07,L05,later
example_05_08,L05,later
example_06_01,L06,earlier
example_06_02,L06,earlier
example_06_03,L06,earlier
example_06_04,L06,earlier
example_06_05,L06,later
example_06_06,L06,later
example_06_07,L06,later
example_06_08,L06,later
example_07_01,L07,earlier
example_07_02,L07,earlier
example_07_03,L07,earlier
example_07_04,L07,earlier
example_07_05,L07,later
example_07_06,L07,later
example_07_07,L07,later
example_07_08,L07,later
example_08_01,L08,earlier
example_08_02,L08,earlier
example_08_03,L08,earlier
example_08_04,L08,earlier
example_08_05,L08,later
example_08_06,L08,later
example_08_07,L08,later
example_08_08,L08,later
example_09_01,L09,earlier
example_09_02,L09,earlier
example_09_03,L09,earlier
example_09_04,L09,earlier
example_09_05,L09,later
example_09_06,L09,later
example_09_07,L09,later
example_09_08,L09,later
example_10_01,L10,earlier
example_10_02,L10,earlier
example_10_03,L10,earlier
example_10_04,L10,earlier
example_10_05,L10,later
example_10_06,L10,later
example_10_07,L10,later
example_10_08,L10,later
example_11_01,L11,earlier
example_11_02,L11,earlier
example_11_03,L11,earlier
example_11_04,L11,earlier
example_11_05,L11,later
example_11_06,L11,later
example_11_07,L11,later
example_11_08,L11,later
example_12_01,L12,earlier
example_12_02,L12,earlier
example_12_03,L12,earlier
example_12_04,L12,earlier
example_12_05,L12,later
example_12_06,L12,later
example_12_07,L12,later
example_12_08,L12,later
