genome_id,genome_name,mlst,serovar,isolation_country,collection_year,host_name,collection_period,country_period,baps_cluster,source_strain
g1307.7503,Streptococcus suis SS1038,MLST.ssuis.1,1,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1038
g1307.7504,Streptococcus suis SS1039,MLST.ssuis.1,1,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1039
g1307.7505,Streptococcus suis SS1041,MLST.ssuis.911,4,United Kingdom,2010,Pig,early,United Kingdom early,BAPS1,SS1041
g1307.7506,Streptococcus suis SS1054,MLST.ssuis.1,2,United Kingdom,,Pig,,,BAPS4,SS1054
g1307.7507,Streptococcus suis SS1040,MLST.ssuis.911,4,United Kingdom,2010,Pig,early,United Kingdom early,BAPS1,SS1040
g1307.7508,Streptococcus suis SS1036,MLST.ssuis.1,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1036
g1307.7509,Streptococcus suis SS1037,MLST.ssuis.87,8,United Kingdom,2010,Pig,early,United Kingdom early,BAPS5,SS1037
g1307.7510,Streptococcus suis LSS97,MLST.ssuis.1,2,United Kingdom,2011,Pig,early,United Kingdom early,BAPS4,LSS97
g1307.7511,Streptococcus suis SS1035,MLST.ssuis.867,8,United Kingdom,2010,Pig,early,United Kingdom early,BAPS26,SS1035
g1307.7512,Streptococcus suis SS1016,MLST.ssuis.87,8,United Kingdom,2010,Pig,early,United Kingdom early,BAPS5,SS1016
g1307.7513,Streptococcus suis SS1055,MLST.ssuis.1,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1055
g1307.7514,Streptococcus suis SS1017,MLST.ssuis.1,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1017
g1307.7515,Streptococcus suis LSS99,MLST.ssuis.906,,United Kingdom,2011,Pig,early,United Kingdom early,BAPS21,LSS99
g1307.7516,Streptococcus suis LSS96,MLST.ssuis.905,11,United Kingdom,2011,Pig,early,United Kingdom early,BAPS10,LSS96
g1307.7517,Streptococcus suis SS1032,MLST.ssuis.1,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1032
g1307.7518,Streptococcus suis SS1033,MLST.ssuis.1,1,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1033
g1307.7519,Streptococcus suis SS1028,MLST.ssuis.908,4,United Kingdom,2010,Pig,early,United Kingdom early,BAPS9,SS1028
g1307.7520,Streptococcus suis SS1029,MLST.ssuis.1,14,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1029
g1307.7521,Streptococcus suis SS1030,MLST.ssuis.27,3,United Kingdom,2010,Pig,early,United Kingdom early,BAPS24,SS1030
g1307.7522,Streptococcus suis LSS92,MLST.ssuis.46,9,United Kingdom,2011,Pig,early,United Kingdom early,BAPS8,LSS92
g1307.7523,Streptococcus suis LSS8,MLST.ssuis.892,16,United Kingdom,2010,Pig,early,United Kingdom early,BAPS8,LSS8
g1307.7524,Streptococcus suis SS1014,MLST.ssuis.27,3,United Kingdom,2011,Pig,early,United Kingdom early,BAPS24,SS1014
g1307.7525,Streptococcus suis SS1015,MLST.ssuis.27,3,United Kingdom,2010,Pig,early,United Kingdom early,BAPS24,SS1015
g1307.7526,Streptococcus suis LSS63,MLST.ssuis.1,2,United Kingdom,2011,Pig,early,United Kingdom early,BAPS4,LSS63
g1307.7527,Streptococcus suis SS1025,MLST.ssuis.1,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1025
g1307.7528,Streptococcus suis SS1027,MLST.ssuis.1,14,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1027
g1307.7529,Streptococcus suis SS1024,MLST.ssuis.1,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1024
g1307.7530,Streptococcus suis LSS80,MLST.ssuis.947,31,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS80
g1307.7531,Streptococcus suis SS1023,MLST.ssuis.1,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1023
g1307.7532,Streptococcus suis SS1026,MLST.ssuis.1,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1026
g1307.7533,Streptococcus suis SS1022,MLST.ssuis.907,7,United Kingdom,2010,Pig,early,United Kingdom early,BAPS10,SS1022
g1307.7534,Streptococcus suis LSS98,MLST.ssuis.1,2,United Kingdom,2011,Pig,early,United Kingdom early,BAPS4,LSS98
g1307.7535,Streptococcus suis SS1042,MLST.ssuis.911,4,United Kingdom,2010,Pig,early,United Kingdom early,BAPS1,SS1042
g1307.7536,Streptococcus suis SS1051,MLST.ssuis.29,7,United Kingdom,2010,Pig,early,United Kingdom early,BAPS28,SS1051
g1307.7537,Streptococcus suis SS1053,MLST.ssuis.25,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS27,SS1053
g1307.7538,Streptococcus suis SS1013,MLST.ssuis.910,,United Kingdom,2011,Pig,early,United Kingdom early,BAPS21,SS1013
g1307.7539,Streptococcus suis SS1048,MLST.ssuis.23,4,United Kingdom,2010,Pig,early,United Kingdom early,BAPS5,SS1048
g1307.7540,Streptococcus suis LSS94,MLST.ssuis.862,4,United Kingdom,2011,Pig,early,United Kingdom early,BAPS5,LSS94
g1307.7541,Streptococcus suis SS1052,MLST.ssuis.868,3,United Kingdom,2010,Pig,early,United Kingdom early,BAPS5,SS1052
g1307.7542,Streptococcus suis SS1043,MLST.ssuis.28,1/2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS26,SS1043
g1307.7543,Streptococcus suis SS1018,MLST.ssuis.29,7,United Kingdom,2010,Pig,early,United Kingdom early,BAPS28,SS1018
g1307.7544,Streptococcus suis SS1021,MLST.ssuis.27,3,United Kingdom,2010,Pig,early,United Kingdom early,BAPS24,SS1021
g1307.7545,Streptococcus suis LSS79,MLST.ssuis.875,15(+19 partial),United Kingdom,2011,Pig,early,United Kingdom early,BAPS10,LSS79
g1307.7546,Streptococcus suis LSS64,MLST.ssuis.881,21,United Kingdom,2011,Pig,early,United Kingdom early,BAPS21,LSS64
g1307.7547,Streptococcus suis SS1012,MLST.ssuis.1,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1012
g1307.7548,Streptococcus suis LSS95,MLST.ssuis.905,11,United Kingdom,2011,Pig,early,United Kingdom early,BAPS10,LSS95
g1307.7549,Streptococcus suis SS1010,MLST.ssuis.1,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1010
g1307.7550,Streptococcus suis SS1009,MLST.ssuis.28,1/2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS25,SS1009
g1307.7551,Streptococcus suis SS1011,MLST.ssuis.1,1,United Kingdom,2011,Pig,early,United Kingdom early,BAPS4,SS1011
g1307.7552,Streptococcus suis SS1008,MLST.ssuis.873,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1008
g1307.7553,Streptococcus suis LSS78,MLST.ssuis.904,12,United Kingdom,2011,Pig,early,United Kingdom early,BAPS10,LSS78
g1307.7554,Streptococcus suis SS1007,MLST.ssuis.29,7,United Kingdom,2010,Pig,early,United Kingdom early,BAPS28,SS1007
g1307.7555,Streptococcus suis SS1003,MLST.ssuis.954,,United Kingdom,2010,Pig,early,United Kingdom early,BAPS16,SS1003
g1307.7556,Streptococcus suis SS1006,MLST.ssuis.1,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1006
g1307.7557,Streptococcus suis SS1004,MLST.ssuis.891,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1004
g1307.7558,Streptococcus suis SS1005,MLST.ssuis.31,3,United Kingdom,2010,Pig,early,United Kingdom early,BAPS24,SS1005
g1307.7559,Streptococcus suis SS1001,MLST.ssuis.1,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1001
g1307.7560,Streptococcus suis SS1002,MLST.ssuis.1,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,SS1002
g1307.7561,Streptococcus suis SS1000,MLST.ssuis.29,7,United Kingdom,2010,Pig,early,United Kingdom early,BAPS28,SS1000
g1307.7562,Streptococcus suis LSS65,MLST.ssuis.902,10,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS65
